iter	Passed	Remaining
159	681	3578
160	685	3570
161	687	3555
162	691	3552
163	694	3538
164	697	3530
165	702	3530
166	705	3519
167	707	3505
168	710	3491
169	712	3477
170	716	3474
171	719	3464
172	722	3453
173	724	3440
174	727	3428
175	730	3420
176	734	3413
177	741	3422
178	743	3409
179	749	3413
180	752	3404
181	754	3391
182	756	3378
183	758	3365
184	766	3377
185	769	3365
186	775	3370
187	785	3390
188	787	3379
189	790	3369
190	792	3356
191	794	3343
192	801	3349
193	805	3346
194	808	3336
195	811	3327
196	819	3342
197	823	3334
198	829	3339
199	838	3352
200	845	3360
201	848	3353
202	853	3349
203	855	3336
204	860	3335
205	863	3330
206	867	3321
207	871	3319
208	874	3308
209	878	3305
210	884	3308
211	886	3296
212	889	3285
213	891	3274
214	894	3266
215	899	3263
216	902	3257
217	905	3248
218	916	3268
219	919	3258
220	921	3248
221	924	3238
222	926	3229
223	931	3227
224	935	3223
225	938	3215
226	941	3205
227	943	3193
228	947	3190
229	949	3179
230	952	3170
231	954	3160
232	957	3151
233	959	3141
234	965	3141
235	969	3137
236	971	3128
237	974	3119
238	977	3112
239	981	3109
240	984	3099
241	986	3088
242	988	3079
243	991	3070
244	996	3071
245	1000	3067
246	1004	3061
247	1006	3052
248	1008	3043
249	1012	3038
250	1016	3033
251	1019	3027
252	1024	3024
253	1028	3020
254	1030	3011
255	1033	3003
256	1036	2995
257	1050	3022
258	1054	3016
259	1056	3006
260	1062	3008
261	1066	3002
262	1070	3000
263	1074	2996
264	1079	2994
265	1083	2989
266	1086	2981
267	1088	2971
268	1092	2968
269	1100	2976
270	1105	2973
271	1109	2968
272	1114	2967
273	1116	2958
274	1118	2950
275	1122	2943
276	1124	2935
277	1127	2929
278	1131	2922
279	1133	2914
280	1136	2909
281	1139	2900
282	1142	2895
283	1147	2893
284	1151	2887
285	1153	2879
286	1155	2871
287	1158	2863
288	1160	2855
289	1163	2847
290	1167	2845
291	1172	2843
292	1175	2837
293	1181	2837
294	1185	2833
295	1188	2827
296	1192	2821
297	1196	2819
298	1199	2811
299	1201	2803
300	1204	2796
301	1207	2790
302	1213	2790
303	1221	2797
304	1226	2794
305	1231	2794
306	1234	2785
307	1238	2783
308	1240	2775
309	1246	2774
310	1248	2766
311	1250	2757
312	1252	2749
313	1259	2750
314	1265	2751
315	1268	2746
316	1273	2742
317	1281	2748
318	1285	2744
319	1288	2738
320	1293	2735
321	1299	2737
322	1302	2730
323	1304	2722
324	1306	2714
325	1309	2707
326	1315	2706
327	1317	2698
328	1319	2691
329	1323	2686
330	1325	2679
331	1331	2679
332	1334	2672
333	1337	2666
334	1339	2659
335	1342	2653
336	1347	2651
337	1353	2650
338	1356	2644
339	1358	2636
340	1362	2634
341	1368	2632
342	1370	2625
343	1373	2618
344	1375	2610
345	1378	2606
346	1383	2603
347	1386	2597
348	1389	2591
349	1392	2585
350	1400	2589
351	1402	2582
352	1405	2575
353	1408	2569
354	1410	2563
355	1415	2559
356	1419	2556
357	1421	2549
358	1424	2543
359	1427	2536
360	1435	2540
361	1437	2533
362	1441	2529
363	1444	2524
364	1449	2522
365	1453	2517
366	1455	2510
367	1458	2504
368	1460	2497
369	1465	2494
370	1468	2490
371	1472	2486
372	1475	2480
373	1478	2474
374	1483	2472
375	1486	2466
376	1488	2459
377	1490	2453
378	1494	2449
379	1500	2447
380	1505	2445
381	1509	2441
382	1512	2436
383	1514	2430
384	1517	2423
385	1519	2417
386	1521	2410
387	1523	2403
388	1527	2399
389	1531	2396
390	1534	2389
391	1536	2383
392	1542	2381
393	1545	2376
394	1547	2370
395	1549	2363
396	1553	2360
397	1556	2354
398	1564	2356
399	1567	2350
400	1572	2349
401	1579	2350
402	1584	2347
403	1587	2341
404	1593	2341
405	1597	2337
406	1600	2331
407	1602	2325
408	1605	2320
409	1609	2316
410	1623	2326
411	1627	2323
412	1630	2317
413	1632	2311
414	1635	2304
415	1639	2301
416	1644	2299
417	1648	2295
418	1652	2291
419	1654	2284
420	1657	2279
421	1659	2273
422	1666	2272
423	1677	2278
424	1682	2276
425	1689	2276
426	1697	2277
427	1702	2275
428	1704	2268
